package,build,benchmark,before_ns,after_ns,change_pct,before_B_op,after_B_op,before_allocs_op,after_allocs_op,samples_per_revision,before_min_ns,before_max_ns,after_min_ns,after_max_ns
xxh3,native,BenchmarkDigestSum/Secret/128/128,12.575,12.55,-0.199,0.0,0.0,0.0,0.0,6,12.57,12.58,12.55,12.56
xxh3,native,BenchmarkDigestSum/Secret/240/64,16.85,16.81,-0.237,0.0,0.0,0.0,0.0,6,16.85,16.85,16.8,16.81
xxh3,native,BenchmarkDigestSum/Secret/240/128,20.75,20.885,0.651,0.0,0.0,0.0,0.0,6,20.74,20.75,20.88,20.9
xxh3,native,BenchmarkDigestSum/Secret/241/64,27.93,19.155,-31.418,0.0,0.0,0.0,0.0,6,27.93,27.94,19.14,19.17
xxh3,native,BenchmarkDigestSum/Secret/241/128,32.935,24.155,-26.659,0.0,0.0,0.0,0.0,6,32.9,32.97,24.15,24.2
xxh3,native,BenchmarkDigestSum/Secret/256/64,27.515,19.11,-30.547,0.0,0.0,0.0,0.0,6,27.51,28.08,19.1,19.12
xxh3,native,BenchmarkDigestSum/Secret/256/128,32.455,24.21,-25.404,0.0,0.0,0.0,0.0,6,32.45,32.49,24.2,24.23
xxh3,native,BenchmarkDigestSum/Secret/576/64,36.925,28.22,-23.575,0.0,0.0,0.0,0.0,6,36.9,36.99,28.2,28.26
xxh3,native,BenchmarkDigestSum/Secret/576/128,41.665,33.84,-18.781,0.0,0.0,0.0,0.0,6,41.65,41.71,33.82,33.88
xxh3,native,BenchmarkDigestSum/Secret/1024/64,55.485,46.22,-16.698,0.0,0.0,0.0,0.0,6,55.46,55.5,46.18,46.69
xxh3,native,BenchmarkDigestSum/Secret/1024/128,60.14,51.885,-13.726,0.0,0.0,0.0,0.0,6,60.12,60.16,51.66,53.92
xxh3,native,BenchmarkDigestSum/Secret/1025/64,13.85,13.71,-1.011,0.0,0.0,0.0,0.0,6,13.85,13.85,13.71,13.72
xxh3,native,BenchmarkDigestSum/Secret/1025/128,20.27,19.8,-2.319,0.0,0.0,0.0,0.0,6,20.26,20.27,19.79,19.8
xxh3,native,BenchmarkDigestSum/Secret/1536/64,38.87,34.55,-11.114,0.0,0.0,0.0,0.0,6,38.83,38.88,34.52,34.56
xxh3,native,BenchmarkDigestSum/Secret/1536/128,43.76,41.115,-6.044,0.0,0.0,0.0,0.0,6,43.74,43.78,41.1,41.16
xxh3,native,BenchmarkDigestSum/Secret/4096/64,58.52,54.585,-6.724,0.0,0.0,0.0,0.0,6,58.45,58.65,54.56,54.62
xxh3,native,BenchmarkDigestSum/Secret/4096/128,62.91,61.415,-2.376,0.0,0.0,0.0,0.0,6,62.77,62.94,61.38,61.49
